course_name,sks,clo_combined_text,skill_technical_list,skill_domain_list,has_skill_tag,sources,num_rows,course_code
Manajemen Hubungan Pelanggan,,Memahami konsep rekayasa dan Manajemen Hubungan Pelanggan Menjabarkan teori dan isu terbaru CRM Merencanakan diseminasi teori CRM kepada masyarakat Menilai dan mempraktikkan perbaikan program CRM,,,False,ITS_Raw,4,20
Manajemen Investasi TI,,Memahami konsep investasi TI dan analisis kebutuhan Memahami model akuisisi dan metode finansial/ekonomi Menerapkan metode multi kriteria untuk investasi TI Menganalisis kelayakan untuk memilih alternatif terbaik,,,False,ITS_Raw,4,21
Manajemen Layanan TI,,"Menjelaskan konsep-konsep penting Manajemen Layanan TI Menjelaskan model-model utama (SVS, SVC, ITIL) Menjelaskan 34 practices Manajemen Layanan TI",,,False,ITS_Raw,3,22
Manajemen Perubahan Organisasi,,"Memahami konsep kepemimpinan dan gaya kepemimpinan Memahami strategi pengembangan kepemimpinan Memahami konsep, tipe dan model manajemen perubahan Menerapkan model manajemen perubahan dalam studi kasus",,,False,ITS_Raw,4,23
Manajemen Proses Bisnis,,Mengklasifikasikan proses bisnis dalam organisasi Menemukan dan menggambarkan proses AS-IS Menganalisis proses secara kualitatif dan kuantitatif Merancang ulang proses bisnis Mendemonstrasikan eksekusi proses model di atas perangkat lunak BPM,,,False,ITS_Raw,5,24
Manajemen Proyek Sistem Informasi,3.0,"Mampu berinisiatif dan bertanggungjawab untuk menyelesaikan berbagai tugas dalam tim Mampu menulis dokumen profesional sesuai dengan konteks profesional Mampu menggunakan metode atau perangkat lunak tertentu dalam keilmuan sistem informasi dalam konteks penelitian atau proyek nyata Mampu memahami prinsip-prinsip manajemen sistem informasi dalam konteks organisasi Mampu menyusun perencanaan dalam konteks sistem informasi menggunakan ilmu dan praktek yang relevan Mampu berinisiatif dan bertanggung jawab dalam menyelesaikan berbagai tugas tim, termasuk kontribusi anggota terhadap pencapaian tujuan proyek sesuai jadwal, serta menyusun laporan tugas besar dengan struktur, penjelasan, dan tata letak yang dielaborasi secara relevan. Mampu menulis dokumen profesional yang sesuai dengan konteks, meliputi kolaborasi dalam penyelesaian proyek sesuai jadwal, kontribusi anggota, serta ketepatan penyusunan laporan dengan struktur, penjelasan, dan tata letak yang didukung oleh literatur relevan. Kemampuan ini mencakup presentasi tugas besar yang efektif. Mampu menerapkan metode manajemen proyek sistem informasi dalam konteks penelitian atau proyek nyata, meliputi manajemen ruang lingkup proyek termasuk input, tool, teknik, keluaran, validasi, dan pengendalian; manajemen jadwal proyek yang mencakup perkiraan sumber daya, penjadwalan, aktivitas, critical chain, PERT, network diagram, serta Gantt chart; manajemen biaya proyek yang mencakup penentuan anggaran, perkiraan biaya, manajemen biaya, serta Earned Value Management dan Portfolio Management; manajemen sumber daya manusia yang meliputi pengembangan kapasitas tim, pengelolaan SDM, motivasi, pengaruh pekerja, pembangunan tim, alokasi SDM, organizational chart, responsibility assignment matrix, dan resource histogram; manajemen komunikasi proyek yang mencakup metode komunikasi, rapat efektif, teknologi komunikasi, template laporan, perencanaan komunikasi, serta pengelolaan komunikasi; manajemen pemangku kepentingan yang mencakup identifikasi, pemetaan pengaruh, perencanaan, dan pengelolaan pemangku kepentingan; serta manajemen risiko proyek yang meliputi identifikasi, analisis kualitatif dan kuantitatif, risk register, dan strategi penanggulangan risiko. Menguasai prinsip-prinsip manajemen sistem informasi dalam konteks organisasi, meliputi pemahaman mendalam tentang proyek, program, dan portofolio proyek, serta faktor-faktor yang mempengaruhinya. Mampu mendeskripsikan lima proses manajemen proyek, level aktivitas, dan interaksinya, serta pengembangan metodologi pengelolaan proyek IT. Memahami komponen dan isi project charter, serta hubungan antara proses dan knowledge area manajemen proyek. Menguasai manajemen ruang lingkup proyek, termasuk input, tool, teknik, dan output, serta validasi dan pengendaliannya. Mampu menjelaskan relasi antara perkiraan sumber daya dengan penjadwalan proyek, pentingnya penjadwalan, definisi aktivitas proyek, kaitan critical chain dan PERT, serta penggunaan network diagram dan Gantt chart untuk menentukan critical path. Menguasai proses penentuan anggaran dan perkiraan biaya proyek IT, pentingnya manajemen biaya, prinsip dasar, penggunaan perangkat lunak, perencanaan biaya, metode perkiraan biaya, serta pentingnya Earned Value Management dan Portfolio Management. Mampu menjelaskan pengembangan kapasitas dan kualitas tim proyek melalui pelatihan, team-building, dan reward system, serta menggunakan alat dan teknik pengelolaan tim proyek. Memahami pentingnya manajemen sumber daya manusia (SDM) dalam proyek IT, definisi, proses, konsep motivasi, cara mempengaruhi pekerja, membangun tim efektif, serta membuat rencana alokasi SDM, organizational chart, responsibility assignment matrix, dan resource histogram. Menguasai metode pengelolaan komunikasi proyek untuk memenuhi kebutuhan informasi, termasuk rapat efektif, penggunaan teknologi, template laporan, konsep komunikasi, softskills manajer dan tim, perencanaan komunikasi, serta pengelolaan komunikasi, teknologi, media, dan pelaporan kinerja. Mampu menjelaskan penentuan dan pemetaan pemangku kepentingan berdasarkan derajat pengaruh, pentingnya manajemen pemangku kepentingan, isi stakeholder management plan, dan proses pengelolaannya. Menguasai konsep risiko dan pentingnya manajemen risiko proyek, isi risk management plan, pengelolaan risiko, identifikasi risiko, pembuatan risk register, analisis risiko kualitatif dan kuantitatif, serta strategi perencanaan menanggapi risiko. Mampu menyusun perencanaan dalam konteks sistem informasi dengan menguasai lima kelompok proses manajemen proyek, termasuk manajemen integrasi, ruang lingkup, jadwal, biaya, sumber daya, komunikasi, pemangku kepentingan, dan risiko. Hal ini mencakup kemampuan mendeskripsikan level aktivitas, interaksi antar proses, serta pengembangan metodologi pengelolaan proyek IT yang sesuai kebutuhan organisasi, termasuk penyusunan project charter, analisis input, tool, teknik, dan output untuk setiap area manajemen, serta pembuatan dokumen perencanaan yang relevan dengan studi kasus. Penguasaan juga meliputi penjadwalan proyek menggunakan critical chain dan PERT, pembuatan network diagram, serta penggunaan Gantt chart untuk menentukan critical path, perencanaan anggaran dan perkiraan biaya proyek menggunakan perangkat lunak dan berbagai metode, serta penerapan Earned Value Management dan Portfolio Management. Selain itu, mampu mengembangkan kapasitas dan kualitas tim proyek melalui pelatihan, team-building, dan reward system, serta mengelola sumber daya manusia dengan konsep motivasi, pengaruh, dan pembangunan tim yang efektif, dibuktikan dengan pembuatan rencana alokasi SDM, organizational chart, responsibility assignment matrix, dan resource histogram. Kemampuan komunikasi yang efektif juga dikuasai melalui metode rapat, teknologi, dan template laporan, serta perencanaan komunikasi proyek, pengelolaan komunikasi, media, dan pelaporan kinerja. Pemetaan dan pengelolaan pemangku kepentingan berdasarkan derajat pengaruh, serta penyusunan stakeholder management plan juga menjadi bagian dari kompetensi ini, begitu pula dengan identifikasi risiko, pembuatan risk register, analisis risiko kualitatif dan kuantitatif, serta strategi penanggulangan risiko. Seluruh kompetensi ini diaplikasikan dalam penyusunan rencana proyek skala kecil, kolaborasi tim, dan pembuatan laporan tugas besar yang terstruktur dan relevan. Mampu berinisiatif dan bertanggung jawab dalam menyelesaikan berbagai tugas tim, termasuk kontribusi anggota terhadap pencapaian tujuan proyek sesuai jadwal, serta menyusun laporan tugas besar dengan struktur, penjelasan, dan tata letak yang dielaborasi secara relevan. || Mampu menulis dokumen profesional yang sesuai dengan konteks, meliputi kolaborasi dalam penyelesaian proyek sesuai jadwal, kontribusi anggota, serta ketepatan penyusunan laporan dengan struktur, penjelasan, dan tata letak yang didukung oleh literatur relevan. Kemampuan ini mencakup presentasi tugas besar yang efektif. || Mampu menerapkan metode manajemen proyek sistem informasi dalam konteks penelitian atau proyek nyata, meliputi manajemen ruang lingkup proyek termasuk input, tool, teknik, keluaran, validasi, dan pengendalian; manajemen jadwal proyek yang mencakup perkiraan sumber daya, penjadwalan, aktivitas, critical chain, PERT, network diagram, serta Gantt chart; manajemen biaya proyek yang mencakup penentuan anggaran, perkiraan biaya, manajemen biaya, serta Earned Value Management dan Portfolio Management; manajemen sumber daya manusia yang meliputi pengembangan kapasitas tim, pengelolaan SDM, motivasi, pengaruh pekerja, pembangunan tim, alokasi SDM, organizational chart, responsibility assignment matrix, dan resource histogram; manajemen komunikasi proyek yang mencakup metode komunikasi, rapat efektif, teknologi komunikasi, template laporan, perencanaan komunikasi, serta pengelolaan komunikasi; manajemen pemangku kepentingan yang mencakup identifikasi, pemetaan pengaruh, perencanaan, dan pengelolaan pemangku kepentingan; serta manajemen risiko proyek yang meliputi identifikasi, analisis kualitatif dan kuantitatif, risk register, dan strategi penanggulangan risiko. || Menguasai prinsip-prinsip manajemen sistem informasi dalam konteks organisasi, meliputi pemahaman mendalam tentang proyek, program, dan portofolio proyek, serta faktor-faktor yang mempengaruhinya. Mampu mendeskripsikan lima proses manajemen proyek, level aktivitas, dan interaksinya, serta pengembangan metodologi pengelolaan proyek IT. Memahami komponen dan isi project charter, serta hubungan antara proses dan knowledge area manajemen proyek. Menguasai manajemen ruang lingkup proyek, termasuk input, tool, teknik, dan output, serta validasi dan pengendaliannya. Mampu menjelaskan relasi antara perkiraan sumber daya dengan penjadwalan proyek, pentingnya penjadwalan, definisi aktivitas proyek, kaitan critical chain dan PERT, serta penggunaan network diagram dan Gantt chart untuk menentukan critical path. Menguasai proses penentuan anggaran dan perkiraan biaya proyek IT, pentingnya manajemen biaya, prinsip dasar, penggunaan perangkat lunak, perencanaan biaya, metode perkiraan biaya, serta pentingnya Earned Value Management dan Portfolio Management. Mampu menjelaskan pengembangan kapasitas dan kualitas tim proyek melalui pelatihan, team-building, dan reward system, serta menggunakan alat dan teknik pengelolaan tim proyek. Memahami pentingnya manajemen sumber daya manusia (SDM) dalam proyek IT, definisi, proses, konsep motivasi, cara mempengaruhi pekerja, membangun tim efektif, serta membuat rencana alokasi SDM, organizational chart, responsibility assignment matrix, dan resource histogram. Menguasai metode pengelolaan komunikasi proyek untuk memenuhi kebutuhan informasi, termasuk rapat efektif, penggunaan teknologi, template laporan, konsep komunikasi, softskills manajer dan tim, perencanaan komunikasi, serta pengelolaan komunikasi, teknologi, media, dan pelaporan kinerja. Mampu menjelaskan penentuan dan pemetaan pemangku kepentingan berdasarkan derajat pengaruh, pentingnya manajemen pemangku kepentingan, isi stakeholder management plan, dan proses pengelolaannya. Menguasai konsep risiko dan pentingnya manajemen risiko proyek, isi risk management plan, pengelolaan risiko, identifikasi risiko, pembuatan risk register, analisis risiko kualitatif dan kuantitatif, serta strategi perencanaan menanggapi risiko. || Mampu menyusun perencanaan dalam konteks sistem informasi dengan menguasai lima kelompok proses manajemen proyek, termasuk manajemen integrasi, ruang lingkup, jadwal, biaya, sumber daya, komunikasi, pemangku kepentingan, dan risiko. Hal ini mencakup kemampuan mendeskripsikan level aktivitas, interaksi antar proses, serta pengembangan metodologi pengelolaan proyek IT yang sesuai kebutuhan organisasi, termasuk penyusunan project charter, analisis input, tool, teknik, dan output untuk setiap area manajemen, serta pembuatan dokumen perencanaan yang relevan dengan studi kasus. Penguasaan juga meliputi penjadwalan proyek menggunakan critical chain dan PERT, pembuatan network diagram, serta penggunaan Gantt chart untuk menentukan critical path, perencanaan anggaran dan perkiraan biaya proyek menggunakan perangkat lunak dan berbagai metode, serta penerapan Earned Value Management dan Portfolio Management. Selain itu, mampu mengembangkan kapasitas dan kualitas tim proyek melalui pelatihan, team-building, dan reward system, serta mengelola sumber daya manusia dengan konsep motivasi, pengaruh, dan pembangunan tim yang efektif, dibuktikan dengan pembuatan rencana alokasi SDM, organizational chart, responsibility assignment matrix, dan resource histogram. Kemampuan komunikasi yang efektif juga dikuasai melalui metode rapat, teknologi, dan template laporan, serta perencanaan komunikasi proyek, pengelolaan komunikasi, media, dan pelaporan kinerja. Pemetaan dan pengelolaan pemangku kepentingan berdasarkan derajat pengaruh, serta penyusunan stakeholder management plan juga menjadi bagian dari kompetensi ini, begitu pula dengan identifikasi risiko, pembuatan risk register, analisis risiko kualitatif dan kuantitatif, serta strategi penanggulangan risiko. Seluruh kompetensi ini diaplikasikan dalam penyusunan rencana proyek skala kecil, kolaborasi tim, dan pembuatan laporan tugas besar yang terstruktur dan relevan.","Agile/Scrum; PMBOK; Risk Management; WBS & Scheduling; Agile/Scrum, PMBOK, Risk Management, WBS & Scheduling",IT Project Management,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,11,25
Manajemen Proyek Tangkas,,"Menunjukkan filosofi dan prinsip yang mendasari agile Mengemukakan siklus hidup proyek agile dan konfigurasi alternatif Mengoperasikan teknik agile serta manfaat dan keterbatasannya Mengimplementasikan pengelolaan proyek agile (perencanaan, eksekusi, kontrol)",,,False,ITS_Raw,4,26
Manajemen Rantai Pasok,,"Menjabarkan konsep manajemen rantai pasok dan strateginya Menerapkan peramalan dan perencanaan agregat rantai pasok Memecahkan masalah proses bisnis umum (persediaan, logistik) Mengusulkan solusi TI untuk supply chain nyata",,,False,ITS_Raw,4,27
Manajemen Risiko TI,,Memahami ketidakpastian bisnis dan kerentanan data/informasi Mengelola risiko TI untuk keberlangsungan bisnis Mengelola sistem informasi yang aman dan akuntabel,,,False,ITS_Raw,3,28
Monitoring dan Evaluasi Organisasi TI,,Memahami konsep dasar monitoring dan evaluasi Memahami desain hasil pada monitoring dan evaluasi Mengemukakan indikator serta data monitoring dan evaluasi Menguraikan rencana monitoring dan evaluasi,,,False,ITS_Raw,4,29
Organisasi dan Fungsional Bisnis,,Memahami Organisasi sebagai  system of flows Memahami  Design Parameter  di desain organisasi Memahami  Contingency Factors  di desain organisasi Memahami  Structural Configurations  di desain organisasi Menganalisis Organisasi Bisnis Kontemporer Merekomendasikan perbaikan pada Organisasi Bisnis Kontemporer,,,False,ITS_Raw,6,30
Pemodelan Proses Bisnis,3.0,"Mampu menyampaikan ide, informasi, dan argumen secara jelas dan persuasif dalam bentuk lisan di lingkungan profesional. Mampu menggunakan teknik, metode, perangkat lunak terkini untuk menghasilkan solusi di bidang pengelolaan fungsi dan bisnis organisasi dalam konteks kasus nyata. Mampu menganalisis prinsip dan fungsi manajemen Sistem Informasi untuk mendukung strategi bisnis. Mampu memodelkan penyelenggaraan sistem informasi di konteks organisasi. Mampu mengaplikasikan kemampuan berkomunikasi yang efektif untuk menggali kebutuhan melalui pemilihan teknik elicitation yang tepat dan pembuatan instrumen pengumpulan data, serta mampu memodelkan narasi proses bisnis menggunakan notasi dasar dan lanjutan, mengidentifikasi proses melalui kategori, hubungan, landscape, dan portofolio, serta menghasilkan model proses bisnis yang sesuai aturan. Selain itu, mampu menyampaikan hasil pekerjaan secara jelas dan terstruktur, menerima saran serta masukan dengan baik, dan menunjukkan pemahaman melalui diskusi atau pertanyaan lanjutan. Memahami penerapan proses bisnis pada berbagai tingkatan organisasi, termasuk identifikasi proses melalui kategori, hubungan antar proses, model lanskap proses, serta portofolio proses. Menguasai penggunaan notasi dasar dan lanjutan untuk memodelkan narasi proses bisnis, serta mampu memilih teknik elicitation yang tepat untuk menggali informasi dan menghasilkan model proses bisnis yang sesuai dengan aturan, meliputi penanganan rework, repetisi, event, dan exception. Mampu membuat model proses bisnis tingkat dasar dan lanjut menggunakan notasi BPMN, termasuk pemahaman tentang branching, merging, exclusive/inclusive decisions, parallel execution, rework, repetition, business objects, resources, process decomposition, dan re-use. Menguasai penanganan event dan exception, serta mampu memodelkan kolaborasi dan koreografi proses melalui berbagai fase pengembangan. Selain itu, mampu mengidentifikasi proses berdasarkan kategori, hubungan antar proses, process landscape, dan process portfolio, serta memilih dan menerapkan teknik elicitation yang tepat untuk menggali informasi guna menghasilkan model proses bisnis yang sesuai dengan aturan. Mampu menggunakan teknik dan perkakas pemodelan proses bisnis, termasuk notasi dasar dan lanjutan, untuk menghasilkan model yang sesuai dengan aturan, mengidentifikasi proses melalui kategori, hubungan antar proses, lanskap proses, dan portofolio proses, serta memilih dan menerapkan teknik elicitation yang tepat untuk menggali informasi. Mampu mengaplikasikan kemampuan berkomunikasi yang efektif untuk menggali kebutuhan melalui pemilihan teknik elicitation yang tepat dan pembuatan instrumen pengumpulan data, serta mampu memodelkan narasi proses bisnis menggunakan notasi dasar dan lanjutan, mengidentifikasi proses melalui kategori, hubungan, landscape, dan portofolio, serta menghasilkan model proses bisnis yang sesuai aturan. Selain itu, mampu menyampaikan hasil pekerjaan secara jelas dan terstruktur, menerima saran serta masukan dengan baik, dan menunjukkan pemahaman melalui diskusi atau pertanyaan lanjutan. || Memahami penerapan proses bisnis pada berbagai tingkatan organisasi, termasuk identifikasi proses melalui kategori, hubungan antar proses, model lanskap proses, serta portofolio proses. Menguasai penggunaan notasi dasar dan lanjutan untuk memodelkan narasi proses bisnis, serta mampu memilih teknik elicitation yang tepat untuk menggali informasi dan menghasilkan model proses bisnis yang sesuai dengan aturan, meliputi penanganan rework, repetisi, event, dan exception. || Mampu membuat model proses bisnis tingkat dasar dan lanjut menggunakan notasi BPMN, termasuk pemahaman tentang branching, merging, exclusive/inclusive decisions, parallel execution, rework, repetition, business objects, resources, process decomposition, dan re-use. Menguasai penanganan event dan exception, serta mampu memodelkan kolaborasi dan koreografi proses melalui berbagai fase pengembangan. Selain itu, mampu mengidentifikasi proses berdasarkan kategori, hubungan antar proses, process landscape, dan process portfolio, serta memilih dan menerapkan teknik elicitation yang tepat untuk menggali informasi guna menghasilkan model proses bisnis yang sesuai dengan aturan. || Mampu menggunakan teknik dan perkakas pemodelan proses bisnis, termasuk notasi dasar dan lanjutan, untuk menghasilkan model yang sesuai dengan aturan, mengidentifikasi proses melalui kategori, hubungan antar proses, lanskap proses, dan portofolio proses, serta memilih dan menerapkan teknik elicitation yang tepat untuk menggali informasi.","BPMN; Process Analysis; Process Mapping; Workflow Design; BPMN, Process Analysis, Process Mapping, Workflow Design",Business Process Modeling,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,9,31
Pemodelan Sistem Kognitif,,"Memahami dasar-dasar cognitive computing Memahami implementasi soft computing sebagai engine Menelaah peran AI, ML, IoT dalam Cognitive Computing Memahami representasi pengetahuan dan manifestasinya Memahami peran NLP dan Expert Systems dalam sistem kognitif",,,False,ITS_Raw,5,32
Pemodelan dan Analitika Prediktif,,Menginterpretasikan karakteristik data deret waktu dan teknik peramalan Memproyeksikan masa depan dengan teknik peramalan robust Menggunakan teknik data mining untuk prediksi data numerikal dan kategorikal Menggunakan machine (deep) learning untuk masalah klasifikasi Memerankan sebagai data scientist dalam mengomunikasikan temuan,,,False,ITS_Raw,5,33
Pemodelan dan Analitika Preskriptif,,Memahami permasalahan optimasi kombinatorik Menjelaskan kompleksitas permasalahan optimasi Menentukan algoritma heuristik yang tepat Menerapkan algoritma heuristik untuk masalah kombinatorik Menganalisis performa dari algoritma heuristik,,,False,ITS_Raw,5,34
Pemrograman Berorientasi Objek,3.0,"Mampu memahami konsep dasar bidang infokom yang digunakan dalam lingkup disiplin ilmu sistem informasi Mampu mengimplementasikan solusi berbasis sistem informasi menggunakan metodologi pengembangan yang tepat Mampu menjelaskan konsep-konsep dasar pemrograman berorientasi obyek (sintak dasar, enkapsulasi, inheritance, polimorfisme, abstraksi, dan penanganan eksepsi) dalam pemrograman Java. Mampu menerapkan prinsip-prinsip OOP untuk merancang dan mengimplementasikan kelas dan objek Java dengan menggunakan fitur yang sesuai. Mampu merancang, mengembangkan, dan mendokumentasikan aplikasi Java sederhana secara kolaboratif yang memenuhi kebutuhan pengguna dengan menerapkan prinsip-prinsip OOP secara komprehensif. Mampu menjelaskan konsep-konsep dasar pemrograman berorientasi obyek dalam Java, meliputi sintak dasar, tipe data, variabel, operator, serta penggunaan struktur kontrol seperti statement IF, CASE, dan WHILE. Menguasai konsep object, class, enkapsulasi, modifier akses, inheritance, abstract, interface, polimorfisme (overloading dan overriding), serta penanganan eksepsi (try-catch-finally). Mampu merancang dan mengimplementasikan diagram kelas UML yang mencerminkan relasi inheritance, asosiasi, dan komposisi, serta menerjemahkannya ke dalam kode Java. Selain itu, mampu menerapkan dasar-dasar pengembangan antarmuka pengguna grafis (GUI) dan operasi File Input/Output (I/O) menggunakan Java. Mampu menerapkan prinsip-prinsip Object-Oriented Programming (OOP) dalam perancangan dan implementasi kelas serta objek Java, meliputi pemahaman konsep dasar PBO, sintaks bahasa pemrograman seperti tipe data, variabel, operator, serta input/output konsol. Menguasai alur logika program menggunakan diagram alir, implementasi array 1D dan 2D, serta struktur kontrol percabangan (IF, Case) dan perulangan (While). Mampu membuat kelas dengan atribut private melalui getter dan setter untuk enkapsulasi data, serta memahami dan mengaplikasikan konsep inheritance, abstract, dan interface. Menguasai konsep polimorfisme, overriding, dan overloading dalam koding program, serta mampu mengidentifikasi jenis eksepsi dan menanganinya menggunakan blok try-catch-finally. Mampu mendesain class diagram menggunakan UML yang mencakup relasi inheritance, asosiasi, dan komposisi, serta menerjemahkannya ke dalam kode Java. Menguasai dasar-dasar pengembangan antarmuka pengguna grafis (GUI) menggunakan JavaFX dan dasar-dasar File I/O dalam Java. Mampu menjelaskan konsep-konsep dasar pemrograman berorientasi obyek dalam Java, meliputi sintak dasar, tipe data, variabel, operator, serta penggunaan struktur kontrol seperti statement IF, CASE, dan WHILE. Menguasai konsep object, class, enkapsulasi, modifier akses, inheritance, abstract, interface, polimorfisme (overloading dan overriding), serta penanganan eksepsi (try-catch-finally). Mampu merancang dan mengimplementasikan diagram kelas UML yang mencerminkan relasi inheritance, asosiasi, dan komposisi, serta menerjemahkannya ke dalam kode Java. Selain itu, mampu menerapkan dasar-dasar pengembangan antarmuka pengguna grafis (GUI) dan operasi File Input/Output (I/O) menggunakan Java. || Mampu menerapkan prinsip-prinsip Object-Oriented Programming (OOP) dalam perancangan dan implementasi kelas serta objek Java, meliputi pemahaman konsep dasar PBO, sintaks bahasa pemrograman seperti tipe data, variabel, operator, serta input/output konsol. Menguasai alur logika program menggunakan diagram alir, implementasi array 1D dan 2D, serta struktur kontrol percabangan (IF, Case) dan perulangan (While). Mampu membuat kelas dengan atribut private melalui getter dan setter untuk enkapsulasi data, serta memahami dan mengaplikasikan konsep inheritance, abstract, dan interface. Menguasai konsep polimorfisme, overriding, dan overloading dalam koding program, serta mampu mengidentifikasi jenis eksepsi dan menanganinya menggunakan blok try-catch-finally. Mampu mendesain class diagram menggunakan UML yang mencakup relasi inheritance, asosiasi, dan komposisi, serta menerjemahkannya ke dalam kode Java. Menguasai dasar-dasar pengembangan antarmuka pengguna grafis (GUI) menggunakan JavaFX dan dasar-dasar File I/O dalam Java.","Java/Python; Design Pattern; Class Design; OOP Principles; Java/Python, Design Pattern, Class Design, OOP Principles",Object-Oriented Programming,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,8,35
Pemrograman Dasar,,"Menjelaskan konsep variabel dan tipe data dalam Java Menerapkan konsep input/output, percabangan, dan perulangan Menerapkan array dalam pemrograman Membuat class, method, dan object dalam Java Menerapkan  exception handling  dalam pemrograman Membuat program Java untuk masalah komputasional dasar",,,False,ITS_Raw,6,36
Pemrograman Web,,Memahami arsitektur layanan berbasis web Mengemukakan teknologi pembuatan aplikasi web Menganalisis berbagai macam MVC framework Membangun aplikasi berbasis web dengan framework Mendemonstrasikan proses dan hasil pembangunan aplikasi web,,,False,ITS_Raw,5,37
Penambangan Data,3.0,"Mampu memodelkan kebutuhan infokom dalam konteks enterprise atau masyarakat Mampu menerapkan pengetahuan statistika fundamental dalam lingkup ilmu sistem informasi Mampu mengembangkan solusi berbasis sistem informasi menggunakan metodologi pengembangan yang tepat. Mampu menggunakan metode dan perangkat lunak terkini untuk menghasilkan solusi di bidang data dalam konteks kasus nyata Mampu melakukan eksplorasi data sesuai dengan jenis data dan kebutuhan informasi, meliputi statistik deskriptif, teknik sampling, jenis data dan skala pengukuran, serta visualisasi data. Menguasai penerapan metode statistika dalam pemodelan data mining, termasuk regresi linear, regresi logistik, K-Means clustering, K-Medoid clustering, Naive Bayes classification, dan Support Vector Machine, serta mampu menginterpretasikan hasil statistika deskriptif baik dalam bentuk data maupun visualisasi. Mampu menjelaskan konsep dasar, ruang lingkup, serta penerapan data mining dalam kasus nyata, serta mampu membuat pemodelan data yang sesuai dengan jenis data yang digunakan. Hal ini mencakup kemampuan dalam penggunaan aplikasi Python/R dan metode data mining untuk menggali informasi, melakukan pemodelan data melalui regresi, clustering, dan klasifikasi, serta menginterpretasikan model yang dihasilkan menjadi informasi yang utuh dan bermanfaat untuk pengambilan keputusan, termasuk penerapan deployment sederhana. Menguasai metodologi data mining termasuk KDD dan CRIPS-DM, serta mampu menjelaskan tahapan pemahaman bisnis, pemahaman data, pemodelan, evaluasi, dan deployment. Mampu mengaplikasikan tahapan data preprocessing secara riil menggunakan Python/R, meliputi data cleansing, reduksi data, penanganan nilai hilang, dan transformasi data, serta mengembangkan dashboard sederhana untuk memvisualisasikan hasil pemodelan. Mampu menerapkan metode data mining menggunakan Python/R untuk menghasilkan solusi pada kasus data nyata, meliputi tahapan preprocessing seperti data cleansing, reduksi data, penanganan nilai yang hilang, serta transformasi data. Menguasai pemodelan data dengan teknik regresi, clustering, dan klasifikasi, serta mampu menginterpretasikan model yang dihasilkan menjadi informasi yang utuh dan bermanfaat, termasuk melakukan deployment sederhana. Mampu melakukan eksplorasi data sesuai dengan jenis data dan kebutuhan informasi, meliputi statistik deskriptif, teknik sampling, jenis data dan skala pengukuran, serta visualisasi data. Menguasai penerapan metode statistika dalam pemodelan data mining, termasuk regresi linear, regresi logistik, K-Means clustering, K-Medoid clustering, Naive Bayes classification, dan Support Vector Machine, serta mampu menginterpretasikan hasil statistika deskriptif baik dalam bentuk data maupun visualisasi. || Mampu menjelaskan konsep dasar, ruang lingkup, serta penerapan data mining dalam kasus nyata, serta mampu membuat pemodelan data yang sesuai dengan jenis data yang digunakan. Hal ini mencakup kemampuan dalam penggunaan aplikasi Python/R dan metode data mining untuk menggali informasi, melakukan pemodelan data melalui regresi, clustering, dan klasifikasi, serta menginterpretasikan model yang dihasilkan menjadi informasi yang utuh dan bermanfaat untuk pengambilan keputusan, termasuk penerapan deployment sederhana. || Menguasai metodologi data mining termasuk KDD dan CRIPS-DM, serta mampu menjelaskan tahapan pemahaman bisnis, pemahaman data, pemodelan, evaluasi, dan deployment. Mampu mengaplikasikan tahapan data preprocessing secara riil menggunakan Python/R, meliputi data cleansing, reduksi data, penanganan nilai hilang, dan transformasi data, serta mengembangkan dashboard sederhana untuk memvisualisasikan hasil pemodelan. || Mampu menerapkan metode data mining menggunakan Python/R untuk menghasilkan solusi pada kasus data nyata, meliputi tahapan preprocessing seperti data cleansing, reduksi data, penanganan nilai yang hilang, serta transformasi data. Menguasai pemodelan data dengan teknik regresi, clustering, dan klasifikasi, serta mampu menginterpretasikan model yang dihasilkan menjadi informasi yang utuh dan bermanfaat, termasuk melakukan deployment sederhana.","Classification; Clustering; Association Rule; Predictive Modeling; Classification, Clustering, Association Rule, Predictive Modeling",Data Mining,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,9,38
Pengantar Ekonomi dan Bisnis,,"Menjelaskan gagasan besar teori dan praktek ekonomi modern Menjabarkan gagasan besar perniagaan, perdagangan, dan manajemen Menguraikan strategi bisnis utama pebisnis terkemuka Menggali pola pikir ekonom besar untuk menyederhanakan konsep sulit",,,False,ITS_Raw,4,39
