course_name,sks,clo_combined_text,skill_technical_list,skill_domain_list,has_skill_tag,sources,num_rows,course_code
Design Thinking,,Menguraikan design thinking untuk menghasilkan ide-ide baru Menggali praktek design thinking di startup untuk menghasilkan produk baru Mengemukakan design thinking yang dipraktekkan startup dalam membuat produk Mencoba proses design thinking untuk memecahkan masalah di sekitar,,,False,ITS_Raw,4,10
Etika Teknologi Informasi,,"Memahami kode etik profesional dan pengguna TI Memahami permasalahan hukum akibat penggunaan TI Menganalisa fenomena penggunaan TI dari aspek etika, moral dan hukum",,,False,ITS_Raw,3,11
Forensika Digital,,Memahami potensi ancaman data dan solusi pengamanannya Membangun keamanan data dan infrastruktur sistem Melaporkan proses pengembangan keamanan sistem Menerapkan identifikasi dan preservasi bukti elektronik,,,False,ITS_Raw,7,12
Grafik Pengetahuan,,Memahami konsep knowledge graph Mendemonstrasikan pemodelan data dalam bentuk graph Memahami algoritma graph dalam menganalisa data Mendemonstrasikan penggunaan algoritma graph,,,False,ITS_Raw,4,13
Infrastruktur TI,,Memahami Dasar Sistem Komputer Memahami Perangkat Keras Komputer Memahami Perangkat Lunak Dasar Memahami Dasar Jaringan Komputer Menerapkan Infrastruktur TI untuk Bisnis Organisasi,,,False,ITS_Raw,5,14
Integrasi Aplikasi Enterprise,3.0,"[PLO01] CLO03 - Mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise atau masyarakat [PLO08] CLO03 - Mampu menggunakan metode atau perangkat lunak tertentu dalam keilmuan sistem informasi dalam konteks penelitian atau proyek nyata Mampu mengidentifikasi kebutuhan integrasi aplikasi enterprise dengan memahami definisi, manfaat, dan perkembangan EAI, serta mengenali komponen dan teknologinya, termasuk tantangan serta peluang penerapannya. Menguasai konsep dasar arsitektur Monolith, SOA, dan Microservice, serta mampu membedakan penerapannya dalam kehidupan nyata dan berdasarkan kebutuhan sistem. Memahami perbedaan model integrasi Point-to-Point dan Middleware, keuntungan serta tantangannya, dan mengidentifikasi berbagai format data yang digunakan dalam pertukaran data seperti XML, JSON, dan Protobuf, termasuk penggunaan API Gateway dan Message Broker. Menguasai konsep dasar Arsitektur API, Web Service, dan Arsitektur Event-Driven, membedakan ketiganya, serta mengidentifikasi penerapannya dalam sistem nyata dan kontribusinya pada integrasi aplikasi, termasuk mengidentifikasi kebutuhan integrasi terhadap studi kasus yang akan dirancang. Mampu mengimplementasikan teknologi integrasi yang sesuai untuk sistem informasi enterprise, meliputi pemahaman dan perancangan API untuk arsitektur monolith dan SOA, serta penggunaan metode HTTP yang tepat. Menguasai konsep dasar microservices dan containerization, termasuk identifikasi dan konfigurasi tools seperti Docker dan Kubernetes untuk orkestrasi, serta merancang dan membangun API dalam lingkungan container. Memahami konsep GraphQL, termasuk struktur query, syntax, dan pengembangannya untuk operasi data, serta mengintegrasikannya sebagai API Gateway dalam arsitektur microservices. Mampu merancang serta mengimplementasikan aplikasi integrasi berbasis microservices dan GraphQL berdasarkan studi kasus, serta menggunakan berbagai tools dan teknologi terbaru yang relevan. Mampu mengidentifikasi kebutuhan integrasi aplikasi enterprise dengan memahami definisi, manfaat, dan perkembangan EAI, serta mengenali komponen dan teknologinya, termasuk tantangan serta peluang penerapannya. Menguasai konsep dasar arsitektur Monolith, SOA, dan Microservice, serta mampu membedakan penerapannya dalam kehidupan nyata dan berdasarkan kebutuhan sistem. Memahami perbedaan model integrasi Point-to-Point dan Middleware, keuntungan serta tantangannya, dan mengidentifikasi berbagai format data yang digunakan dalam pertukaran data seperti XML, JSON, dan Protobuf, termasuk penggunaan API Gateway dan Message Broker. Menguasai konsep dasar Arsitektur API, Web Service, dan Arsitektur Event-Driven, membedakan ketiganya, serta mengidentifikasi penerapannya dalam sistem nyata dan kontribusinya pada integrasi aplikasi, termasuk mengidentifikasi kebutuhan integrasi terhadap studi kasus yang akan dirancang. || Mampu mengimplementasikan teknologi integrasi yang sesuai untuk sistem informasi enterprise, meliputi pemahaman dan perancangan API untuk arsitektur monolith dan SOA, serta penggunaan metode HTTP yang tepat. Menguasai konsep dasar microservices dan containerization, termasuk identifikasi dan konfigurasi tools seperti Docker dan Kubernetes untuk orkestrasi, serta merancang dan membangun API dalam lingkungan container. Memahami konsep GraphQL, termasuk struktur query, syntax, dan pengembangannya untuk operasi data, serta mengintegrasikannya sebagai API Gateway dalam arsitektur microservices. Mampu merancang serta mengimplementasikan aplikasi integrasi berbasis microservices dan GraphQL berdasarkan studi kasus, serta menggunakan berbagai tools dan teknologi terbaru yang relevan.","API Design; Web Services; API Design, Web Services",Enterprise Integration,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,5,15
Jaringan Komputer,3.0,"Mampu memahami konsep dasar bidang infokom yang digunakan dalam lingkup disiplin ilmu sistem informasi Mampu menerapkan perspektif disiplin lain dalam analisis permasalahan infokom Mampu menggunakan teknik atau perangkat dalam bidang infrastruktur teknologi informasi untuk organisasi Memahami dasar komunikasi jaringan komputer, termasuk ketersediaan, keterpercayaan, dan keamanan, serta mampu mengidentifikasi standar jaringan komputer Open Systems Interconnection (OSI) dan setiap lapisannya, meliputi OSI Layer Physical, Data-Link, Network, dan Transport, serta mengkorelasikan protokol yang digunakan dalam setiap lapisan OSI. Mampu menerapkan pengalamatan dan konfigurasi perangkat jaringan komputer dengan ketepatan dalam menghitung konversi antarbilangan, meliputi bilangan biner, desimal, dan heksadesimal serta metode konversinya, dan mampu menjelaskan fungsi protokol IPv4. Mampu merancang jaringan komputer dalam sebuah institusi, meliputi pemahaman konsep Internet Control Protocol dan Address Resolution Protocol, serta penggunaan software pendukung dan perangkat Cisco berdasarkan studi kasus. Memahami dasar komunikasi jaringan komputer, termasuk ketersediaan, keterpercayaan, dan keamanan, serta mampu mengidentifikasi standar jaringan komputer Open Systems Interconnection (OSI) dan setiap lapisannya, meliputi OSI Layer Physical, Data-Link, Network, dan Transport, serta mengkorelasikan protokol yang digunakan dalam setiap lapisan OSI. || Mampu menerapkan pengalamatan dan konfigurasi perangkat jaringan komputer dengan ketepatan dalam menghitung konversi antarbilangan, meliputi bilangan biner, desimal, dan heksadesimal serta metode konversinya, dan mampu menjelaskan fungsi protokol IPv4. || Mampu merancang jaringan komputer dalam sebuah institusi, meliputi pemahaman konsep Internet Control Protocol dan Address Resolution Protocol, serta penggunaan software pendukung dan perangkat Cisco berdasarkan studi kasus.","TCP/IP Protocol; Network Topology; Network Security; TCP/IP Protocol, Network Topology, Network Security",Computer Networking,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,7,16
Keamanan Sistem Informasi,3.0,"Mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise atau masyarakat Mampu memahami konsep dasar bidang infokom yang digunakan dalam lingkup disiplin ilmu sistem informasi Mampu menggunakan metode dan perangkat lunak terkini untuk menghasilkan solusi di bidang data dalam konteks kasus nyata Mampu menggunakan teknik atau perangkat dalam bidang infrastruktur teknologi informasi untuk organisasi Mampu menerapkan teknik, metode, dan perangkat lunak terkini untuk menghasilkan solusi di bidang sistem informasi, meliputi implementasi keamanan jaringan, identifikasi kerentanan dan ancaman pada sistem endpoint serta aplikasi web, serta penghitungan dan pengukuran risiko keamanan informasi. Menguasai identifikasi pengelolaan teknologi keamanan sebagai kebijakan, panduan, prosedur SDM dan organisasi, penerapan proteksi keamanan lingkungan fisik, serta studi kasus pada keamanan sistem informasi. Mampu mengidentifikasi konsep keamanan sistem informasi, termasuk kerentanan, ancaman keamanan, serta kontrol yang relevan, dan menguasai penerapan kriptografi modern seperti hash, simetrik, dan asimetrik. Selain itu, mampu mengidentifikasi fungsi identitas, otentikasi, serta proteksi data, dan memahami kerentanan serta ancaman pada keamanan jaringan, termasuk fungsi operasional keamanan untuk menghasilkan solusi sistem informasi yang efektif dalam konteks kasus nyata. Mampu menerapkan teknik, metode, dan perangkat lunak terkini untuk menghasilkan solusi di bidang sistem informasi, meliputi implementasi keamanan jaringan, identifikasi kerentanan dan ancaman pada sistem endpoint serta aplikasi web, serta penghitungan dan pengukuran risiko keamanan informasi. Menguasai identifikasi pengelolaan teknologi keamanan sebagai kebijakan, panduan, prosedur SDM dan organisasi, penerapan proteksi keamanan lingkungan fisik, serta studi kasus pada keamanan sistem informasi. || Mampu mengidentifikasi konsep keamanan sistem informasi, termasuk kerentanan, ancaman keamanan, serta kontrol yang relevan, dan menguasai penerapan kriptografi modern seperti hash, simetrik, dan asimetrik. Selain itu, mampu mengidentifikasi fungsi identitas, otentikasi, serta proteksi data, dan memahami kerentanan serta ancaman pada keamanan jaringan, termasuk fungsi operasional keamanan untuk menghasilkan solusi sistem informasi yang efektif dalam konteks kasus nyata.","Cybersecurity; Cryptography; Security Audit; Risk Assessment; Cybersecurity, Cryptography, Security Audit, Risk Assessment",Information Security,True,TelU_CLO_Paraphrase; TelU_CLO_Skill; TelU_Course_Summary,7,17
Komputasi Lunak,,Memahami konsep komputasi lunak dan optimasi Memahami beberapa metode komputasi lunak Memahami jenis algoritma berbasis evolusi Memahami aplikasi komputasi lunak untuk kasus nyata,,,False,ITS_Raw,4,18
Logika dan Struktur Diskrit,,"Menjelaskan dan menerapkan konsep-konsep dasar logika (proposisi, premis, kesimpulan, inferensi) Menggunakan metode pembuktian untuk menguji kebenaran teorema matematis Menjelaskan dan menerapkan konsep dasar struktur diskrit (teori bilangan, himpunan, induksi, rekursi) Memahami metode  counting  dan merepresentasikan permasalahan dalam bentuk relasi dan graf Menerapkan logika dan struktur diskrit untuk memecahkan masalah komputasional",,,False,ITS_Raw,5,19
