job_id,job_title,feature,shap_value,base_value
li_4431711270,UX Designer,Business Competency Score,0.0,0.0
li_4431711270,UX Designer,Security Competency Score,0.0,0.0
li_4431711270,UX Designer,Infra Competency Score,0.0,0.0
li_4387561209,AI Engineer,IPK,0.2127,0.0
li_4387561209,AI Engineer,Jumlah Sertifikasi,0.0,0.0
li_4387561209,AI Engineer,Data Competency Score,0.0,0.0
li_4387561209,AI Engineer,Programming Competency Score,2.6669,0.0
li_4387561209,AI Engineer,Business Competency Score,0.0,0.0
li_4387561209,AI Engineer,Security Competency Score,0.0,0.0
li_4387561209,AI Engineer,Infra Competency Score,0.0,0.0
