job_id,job_title,job_company,job_source,best_cert_id,best_cert_title,cross_encoder_score,cert_score_max,explanation
gd_1010011121137,Researcher (Contract),Civitech,glassdoor,cert_2,Cisco CyberOps Associate,5.769,3.144105,Semantic match score: 5.77 for query 'Cisco CyberOps Associate'
gd_1010139624650,Research Assistant 1- Word Learning Lab,Boys Town National Research Hospital,glassdoor,cert_2,Cisco CyberOps Associate,5.8809,3.2050905,Semantic match score: 5.88 for query 'Cisco CyberOps Associate'
gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,cert_2,Cisco CyberOps Associate,7.2779,3.9664555000000004,Semantic match score: 7.28 for query 'Cisco CyberOps Associate'
gd_1010185917196,Ethics of Technology Course Editor (Contract),Study.com,glassdoor,cert_1,Certified Ethical Hacker (Training),5.6471,1.37902182,Semantic match score: 5.65 for query 'Certified Ethical Hacker (Training)'
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI","Snorkel AI, Inc.",glassdoor,cert_1,Certified Ethical Hacker (Training),7.0726,1.7271289200000002,Semantic match score: 7.07 for query 'Certified Ethical Hacker (Training)'
li_3815119724,Software,Bay Mortgage Services,linkedin,cert_2,Cisco CyberOps Associate,5.4551,2.9730295,Semantic match score: 5.46 for query 'Cisco CyberOps Associate'
li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,cert_2,Cisco CyberOps Associate,8.3896,4.572332,Semantic match score: 8.39 for query 'Cisco CyberOps Associate'
li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,cert_1,Certified Ethical Hacker (Training),8.3459,2.03806878,Semantic match score: 8.35 for query 'Certified Ethical Hacker (Training)'
li_4432811217,Junior Frontend Developer,MagicSet,linkedin,cert_0,Security+,-1.8447,-0.34698807,Semantic match score: -1.84 for query 'Security+'
