job_id,job_label,final_score,feature,shap_value,shap_abs
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Pemrograman Berorientasi Objek,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Sistem Basis Data,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Analisis dan Perancangan Sistem Informasi,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Pengembangan Aplikasi Website,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Perancangan Interaksi,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Sistem Operasi,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Integrasi Aplikasi Enterprise,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Keamanan Sistem Informasi,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Manajemen Proyek Sistem Informasi,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Penambangan Data,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Rekayasa Proses Bisnis,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Arsitektur Enterprise,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Data Warehouse dan Business Intelligence,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Proyek Perangkat Lunak,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Sistem Informasi Akuntansi,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Tata Kelola dan Manajemen Teknologi Informasi,0.0,0.0
li_4432248908,Machine Learning Engineer @ KTek Resourcing,2.048,Pengembangan Sistem Cerdas,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Pemodelan Proses Bisnis,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Algoritma dan Pemrograman,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Pengantar Sistem Informasi,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Sistem Enterprise,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Jaringan Komputer,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Pemrograman Berorientasi Objek,0.0,0.0
