course_name,rank,job_id,job_title,tfidf_similarity
Analisis dan Perancangan Sistem Informasi,4,li_4425985667,Product Designer,0.0317
Analisis dan Perancangan Sistem Informasi,5,li_4434667511,Data Scientist,0.0295
Analisis dan Perancangan Sistem Informasi,6,li_4434678173,Data Scientist,0.0295
Analisis dan Perancangan Sistem Informasi,7,li_4434660737,Data Scientist,0.0295
Analisis dan Perancangan Sistem Informasi,8,li_4434673373,Data Scientist,0.0295
Analisis dan Perancangan Sistem Informasi,9,li_4434658960,Data Scientist,0.0295
Analisis dan Perancangan Sistem Informasi,10,li_4407944975,Analytics Engineer,0.0291
Pengembangan Aplikasi Website,1,li_4435883562,Software Engineer: Web Developer,0.1329
Pengembangan Aplikasi Website,2,li_4427706568,"Web Developer (HTML,CSS) | Remote",0.104
Pengembangan Aplikasi Website,3,li_4413040880,"Web Developer, Lion Holdings",0.0984
Pengembangan Aplikasi Website,4,li_4432900614,Software Engineer,0.0801
Pengembangan Aplikasi Website,5,li_4354168153,Software Engineer,0.0785
Pengembangan Aplikasi Website,6,li_4429586730,Web Application Software Developer,0.0744
Pengembangan Aplikasi Website,7,li_4424180378,Front End Developer,0.0738
Pengembangan Aplikasi Website,8,li_4417958974,Cloud Web Developer - Mid,0.0673
Pengembangan Aplikasi Website,9,li_4383899114,Web Developer,0.0649
Pengembangan Aplikasi Website,10,li_4422496351,"Software Engineer, Full-Stack",0.0641
Perancangan Interaksi,1,li_4433350882,Figma Designer,0.0681
Perancangan Interaksi,2,li_4323760450,"Product Designer, Design, Dev, & AI Tools",0.0655
Perancangan Interaksi,3,li_4239984019,"Software Engineer, Machine Learning",0.0625
Perancangan Interaksi,4,li_4418939171,UI/UX Designer,0.0475
Perancangan Interaksi,5,li_4408112041,"UI/UX Designer, Lion Holdings",0.0474
Perancangan Interaksi,6,li_4431725005,UX Designer,0.0468
Perancangan Interaksi,7,li_4200573131,UI/UX Designer,0.0461
Perancangan Interaksi,8,li_4430018688,User Experience Designer,0.0453
Perancangan Interaksi,9,li_4432527741,AI UI UX Designer,0.0447
Perancangan Interaksi,10,li_4410016324,UI/UX Designer,0.0404
Sistem Operasi,1,li_4398066516,AI/ML Engineer,0.0434
Sistem Operasi,2,li_4427749735,"Analyst, Enterprise Data",0.0324
Sistem Operasi,3,li_4430803025,Technical Data Analyst,0.0287
Sistem Operasi,4,li_4427645315,"IT Data Analyst | SQL, Power BI & Business Intelligence",0.0281
Sistem Operasi,5,li_4407944975,Analytics Engineer,0.0269
Sistem Operasi,6,li_4434678173,Data Scientist,0.0268
Sistem Operasi,7,li_4434667511,Data Scientist,0.0268
Sistem Operasi,8,li_4434660737,Data Scientist,0.0268
Sistem Operasi,9,li_4434673373,Data Scientist,0.0268
Sistem Operasi,10,li_4434658960,Data Scientist,0.0268
Integrasi Aplikasi Enterprise,1,li_4425985667,Product Designer,0.0832
Integrasi Aplikasi Enterprise,2,li_4435815437,Data Analyst (Data Management),0.0819
Integrasi Aplikasi Enterprise,3,li_4409361649,Software Engineer - Back End,0.0625
Integrasi Aplikasi Enterprise,4,li_4344168688,Full-Stack E-Commerce Developer,0.0614
Integrasi Aplikasi Enterprise,5,li_4410016324,UI/UX Designer,0.0591
Integrasi Aplikasi Enterprise,6,li_4383899114,Web Developer,0.0573
Integrasi Aplikasi Enterprise,7,li_4372153003,Applied ML Engineer,0.0541
Integrasi Aplikasi Enterprise,8,li_4411864449,ES Application Developer II,0.0538
Integrasi Aplikasi Enterprise,9,li_4369542154,Product Designer,0.0508
Integrasi Aplikasi Enterprise,10,li_4339434305,"Software Engineer, All Teams",0.0458
Keamanan Sistem Informasi,1,li_4435815437,Data Analyst (Data Management),0.0468
Keamanan Sistem Informasi,2,li_4427749735,"Analyst, Enterprise Data",0.0352
Keamanan Sistem Informasi,3,li_4425985667,Product Designer,0.031
Keamanan Sistem Informasi,4,li_4436152639,"Enterprise Data & Analytics Analyst, Platform Engineering",0.0254
Keamanan Sistem Informasi,5,li_4430803025,Technical Data Analyst,0.025
Keamanan Sistem Informasi,6,li_4409361649,Software Engineer - Back End,0.0242
Keamanan Sistem Informasi,7,li_4316915976,IT Data Analyst,0.0233
Keamanan Sistem Informasi,8,li_4344168688,Full-Stack E-Commerce Developer,0.0229
Keamanan Sistem Informasi,9,li_4383899114,Web Developer,0.0224
Keamanan Sistem Informasi,10,li_4410016324,UI/UX Designer,0.0221
Manajemen Proyek Sistem Informasi,1,li_4398066516,AI/ML Engineer,0.021
Manajemen Proyek Sistem Informasi,2,li_4432634871,Adv-UI/UX Designer,0.0
Manajemen Proyek Sistem Informasi,3,li_4428062436,Full Stack Engineer (ML),0.0
Manajemen Proyek Sistem Informasi,4,li_4428828247,Machine Learning Engineer,0.0
Manajemen Proyek Sistem Informasi,5,li_4414066946,Software Engineer,0.0
Manajemen Proyek Sistem Informasi,6,li_4381385653,Full-Stack Engineer,0.0
Manajemen Proyek Sistem Informasi,7,li_4433381258,Software Engineer,0.0
Manajemen Proyek Sistem Informasi,8,li_4423511919,Full Stack Engineer,0.0
Manajemen Proyek Sistem Informasi,9,li_4407534601,Software Engineer (Open Level),0.0
Manajemen Proyek Sistem Informasi,10,li_4394477871,Software Application Developer,0.0
Penambangan Data,1,li_4430803025,Technical Data Analyst,0.227
Penambangan Data,2,li_4427749735,"Analyst, Enterprise Data",0.1868
Penambangan Data,3,li_4316915976,IT Data Analyst,0.1835
Penambangan Data,4,li_4250715906,Data Scientist,0.1821
Penambangan Data,5,gd_1010183910310,Data Quality Officer,0.1667
Penambangan Data,6,li_4368833518,Data Analyst,0.1589
Penambangan Data,7,li_4428736410,Manufacturing Data Analyst,0.1505
Penambangan Data,8,li_4412974495,Data Analyst (U.S.),0.1496
Penambangan Data,9,li_4435373470,Product Data Operations Analyst,0.1446
Penambangan Data,10,li_4407944975,Analytics Engineer,0.1415
Rekayasa Proses Bisnis,1,li_4398066516,AI/ML Engineer,0.0402
Rekayasa Proses Bisnis,2,li_4425985667,Product Designer,0.0307
Rekayasa Proses Bisnis,3,li_4435815437,Data Analyst (Data Management),0.0302
Rekayasa Proses Bisnis,4,li_4409361649,Software Engineer - Back End,0.023
Rekayasa Proses Bisnis,5,li_4344168688,Full-Stack E-Commerce Developer,0.0226
Rekayasa Proses Bisnis,6,li_4410016324,UI/UX Designer,0.0218
Rekayasa Proses Bisnis,7,li_4383899114,Web Developer,0.0211
