cert_title,cert_id,rank,job_id,job_title,job_company,job_source,cross_encoder_score
Security+,cert_0,1,li_4432811217,Junior Frontend Developer,MagicSet,linkedin,-1.8447
Security+,cert_0,2,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,-2.1744
Security+,cert_0,3,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,-2.6711
Security+,cert_0,4,gd_1010139624650,Research Assistant 1- Word Learning Lab,Boys Town National Research Hospital,glassdoor,-2.7297
Security+,cert_0,5,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-2.7749
Certified Ethical Hacker (Training),cert_1,1,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,8.4624
Certified Ethical Hacker (Training),cert_1,2,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,8.3459
Certified Ethical Hacker (Training),cert_1,3,gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI","Snorkel AI, Inc.",glassdoor,7.0726
Certified Ethical Hacker (Training),cert_1,4,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,5.7658
Certified Ethical Hacker (Training),cert_1,5,gd_1010185917196,Ethics of Technology Course Editor (Contract),Study.com,glassdoor,5.6471
Cisco CyberOps Associate,cert_2,1,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,8.3896
Cisco CyberOps Associate,cert_2,2,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,7.2779
Cisco CyberOps Associate,cert_2,3,gd_1010139624650,Research Assistant 1- Word Learning Lab,Boys Town National Research Hospital,glassdoor,5.8809
Cisco CyberOps Associate,cert_2,4,gd_1010011121137,Researcher (Contract),Civitech,glassdoor,5.769
Cisco CyberOps Associate,cert_2,5,li_3815119724,Software,Bay Mortgage Services,linkedin,5.4551
