job_id,job_title,job_company,job_source,best_cert_id,best_cert_title,cross_encoder_score,cert_score_max
gd_1010011121137,Researcher (Contract),Civitech,glassdoor,cert_2,Cisco CyberOps Associate,5.769,3.1614120000000003
gd_1010139624650,Research Assistant 1- Word Learning Lab,Boys Town National Research Hospital,glassdoor,cert_2,Cisco CyberOps Associate,5.8809,3.2227332
gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,cert_2,Cisco CyberOps Associate,7.2779,3.9882892
gd_1010185917196,Ethics of Technology Course Editor (Contract),Study.com,glassdoor,cert_1,Certified Ethical Hacker (Training),5.6471,1.38579834
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI","Snorkel AI, Inc.",glassdoor,cert_1,Certified Ethical Hacker (Training),7.0726,1.7356160400000002
li_3815119724,Software,Bay Mortgage Services,linkedin,cert_2,Cisco CyberOps Associate,5.4551,2.9893948000000004
li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,cert_2,Cisco CyberOps Associate,8.3896,4.597500800000001
li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,cert_1,Certified Ethical Hacker (Training),8.3459,2.04808386
li_4432811217,Junior Frontend Developer,MagicSet,linkedin,cert_0,Security+,-1.8447,-0.34920171
