job_id,job_title,khs_only_score,final_score
li_4431725005,UX Designer,1.5176969999999999,6.981
li_4433193265,UX Designer,1.3030469999999998,6.666
li_4324763342,0,0.0,5.023
li_4290752432,0,0.0,4.782
li_4427706568,"Web Developer (HTML,CSS) | Remote",4.6628175,4.663
li_4411864449,ES Application Developer II,4.65902,4.659
li_4433431526,0,0.0,4.537
li_4405260780,Machine Learning (ML) Engineer,3.566368333333333,3.566
li_4414938843,Web Apps Developer,2.8876649999999997,2.888
li_4431711270,UX Designer,2.729862,2.73
li_4426358084,Full Stack Developer,2.6923049999999997,2.692
li_4387561209,AI Engineer,2.627415,2.627
li_4372153003,Applied ML Engineer,1.879605,1.88
li_4401451723,Experience Designer,1.0811879999999998,1.877
li_4429459188,Data Scientist - NLP,1.8651125,1.865
li_4430289828,Software Engineer II,-3.9082680000000005,0.0
li_4429570401,Business Intelligence Analyst,-2.64457375,0.0
li_4428505624,Business Systems Analyst,-1.61005,0.0
li_4427730735,UI Frontend Developer,1.3367475,0.0
li_4429955515,Product Designer,0.5840175,0.0
li_4426669408,Software Developer,-0.7660874999999999,0.0
li_4425297677,Data Scientist,0.9145500000000001,0.0
li_4429019731,AI/ML Engineer — Job Posting,-4.186224166666666,0.0
gd_1007506508998,Science Policy Postdocs,1.5698156250000002,0.0
li_4431330775,Software Developer,0.9951949999999998,0.0
li_4423127415,Machine Learning Engineer,1.808051875,0.0
li_4432106356,Data Analytics Specialist,0.23893875,0.0
li_4432248908,Machine Learning Engineer,-1.0108904166666672,0.0
li_4432488212,Machine Learning Engineer,1.7142868750000002,0.0
li_4433237538,Software Developer,-2.3061033333333336,0.0
li_4433350882,Figma Designer,1.444554,0.0
li_4433708125,Software Engineer,0.01683,0.0
li_4434016802,Back End Developer,-2.379235,0.0
li_4434389490,Software Engineer,-1.1905109999999999,0.0
li_4435377657,Software Engineer,-1.1905109999999999,0.0
li_4435439591,Data Analyst,-1.4923349999999997,0.0
li_4435815437,Data Analyst (Data Management),-6.617152708333333,0.0
li_4424958127,Product Designer,-2.006934375,0.0
li_4419568698,"Software Engineer (Backend), Content Foundations",-1.06789,0.0
li_4422384759,Machine Learning Operations Engineer,-4.992027500000001,0.0
li_4419895399,Software Engineer,-5.177334166666667,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab,-2.6117280000000003,0.0
gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",-1.962936,0.0
gd_1010181109261,Informaticist 2,-0.9810359999999999,0.0
li_3686416246,Epicor Software Programmer,-2.260666666666667,0.0
li_3815119724,Software,-15.137911833333334,0.0
li_4205003719,Software Engineer,-0.0891,0.0
li_4327166527,Computer Scientist - Mid,-2.4197550000000003,0.0
li_4346417366,Machine Learning Engineer,-0.08983333333333335,0.0
li_4363726700,Software Engineer,-12.791841458333334,0.0
li_4373708675,Software Engineer,-2.017166666666667,0.0
li_4375997156,Data Analyst,-0.4167949999999999,0.0
li_4380008807,Software Engineer II (Maritime),-2.42380875,0.0
li_4387607502,"Software Engineer, Full Stack",0.58014,0.0
li_4402733831,Full Stack Developer,1.7594774999999998,0.0
li_4403509120,Software Engineer,-3.64715,0.0
li_4406796300,Software Engineer,-7.52975,0.0
li_4409724477,Business Intelligence Analyst,-3.9151450000000003,0.0
li_4410318166,JOB-6719,-0.38966999999999996,0.0
li_4412928692,Software Engineer 2,-4.93056,0.0
li_4415682876,Business Analyst,-3.9435599999999997,0.0
li_4418860602,Business Analyst,-3.9435599999999997,0.0
li_4418898971,Software Engineer II (Frontend),-1.0542049999999998,0.0
li_4419003903,Software Engineer II (Frontend),-1.0542049999999998,0.0
li_4419083864,Data Analyst - Rental,0.44605249999999996,0.0
gd_1010109391172,AI Tutor - Tagalog,-3.28760625,0.0
li_4419576589,"Software Engineer (Backend), Content Foundations",-1.06789,0.0
li_4419576591,"Software Engineer (Backend), Content Foundations",-1.06789,0.0
li_4436152639,"Enterprise Data & Analytics Analyst, Platform Engineering",0.14263,0.0
